relation	concept	shortname-activity	longname-activity
usedfor	compass	use circle	construct regular polygons using a circle
usedfor	compass	watch meteor shower	watch the perseid meteor shower
usedfor	computer mouse	add dimple	add dimples to jpg images with ms paint
usedfor	computer mouse	delete message	delete old messages from your yelp inbox
usedfor	computer mouse	delete slide	delete a slide in powerpoint
usedfor	computer mouse	hide update	hide certain game status updates from other friends from the facebook news feed
usedfor	computer mouse	remove friend	remove a friend from your friends list on yelp
usedfor	computer mouse	remove review	edit or remove a posted review on yelp
usedfor	computer mouse	upload bookmark	upload your existing bookmarks to del.icio.us
usedfor	concrete mixer	build wall	build a brick wall
usedfor	cookie cutter	make cookie	make sand cookies
usedfor	cookie cutter	make pizza	make mini fruit pizzas on sugar cookies
usedfor	corkscrew	pour glass	pour a glass of wine
usedfor	corkscrew	serve dinner party	serve at a dinner party
usedfor	corkscrew	use aerator	use a wine aerator
usedfor	cot	care for doll	care for a baby doll
usedfor	cot	care for doll	play with a new baby doll the fun way and awesome way
usedfor	couch	choose furniture	choose living room furniture
usedfor	couch	make apartment	make your own mini apartment
usedfor	couch	play school	play school with friends (for kids)
usedfor	couch	stop cat	stop a cat from scratching the couch
usedfor	couch	take care	take care of your aging cat
usedfor	courgette	cook dairy	cook completely non dairy for a day
usedfor	cream	improve coffee	improve the office coffee
usedfor	cream	look good	look good at first day of school (girls)
usedfor	cream	make chocolate	make agave chocolate
usedfor	cream	make cocktail	make gnome cocktails in runescape
usedfor	cream	make cocoa	make perfect hot cocoa
usedfor	cream	make coffee	make dessert coffee
usedfor	cream	make duck	make a fluffy duck
usedfor	cream	make mascarpone	make mascarpone
usedfor	cream	make shirred egg	make shirred eggs
usedfor	cream	make smooth	make aluminium foil smooth
usedfor	cream	make soup	make artichoke soup
usedfor	cream	make stew	make sausage cream stew
usedfor	cream	make tea	make creamy chai tea
usedfor	cream	prepare for treatment	prepare for a botox treatment
usedfor	cream	quit smoking	quit smoking with cream of tartar
usedfor	crescent wrench	fix tap	fix a dripping tap
usedfor	crescent wrench	install light	install led accent lights on a motorcycle
usedfor	crescent wrench	replace sink	replace a bathroom sink
usedfor	crib	buy furniture	buy baby furniture
usedfor	crib	take care	care for a reborn doll
usedfor	crib	take care	take care of a reborn baby doll
usedfor	cricket ball	grasp ball	grip the ball to bowl offspin
usedfor	cricket ball	leave cricket	bat left handed in cricket
usedfor	cricket ball	try variation	bowl offspin like ajantha mendis and trying different variations using the same
usedfor	crossword puzzle	find answer	find crossword puzzle answers online
usedfor	cucumber	care for mouse	care for mice during vacation
usedfor	cucumber	make pickle	make pickles from leftover brine
usedfor	cucumber	make product	make natural skin care products
usedfor	cucumber	make salad	make a garden salad
usedfor	cucumber	make salad	make cobb salad in a jar
usedfor	cucumber	make salad	make greek salad in a jar
usedfor	cucumber	make salad	make shrimp chef salad with lime and cilantro
usedfor	cucumber	make sandwich	make a baguette sandwich
usedfor	cucumber	make soup	make hot spacho soup
usedfor	cucumber	make wash	make cucumber face wash
usedfor	cucumber	use rose water	use rose water for beautiful skin
usedfor	cucumber	wrap cheese	wrap feta cheese in pitta bread
usedfor	cup or mug	brew tea	brew tea by decoction
usedfor	cup or mug	make drink	make a mocha coffee drink
usedfor	cup or mug	make hot chocolate	make a hot chocolate
usedfor	cup or mug	make hot chocolate	make hot chocolate
usedfor	cup or mug	make hot chocolate	make hot chocolate with marsh mellows
usedfor	cup or mug	make hot chocolate	make really good hotchocalate
usedfor	cup or mug	make hot chocolate	make the perfect hot chocolate
usedfor	cup or mug	make popsicle	make a blue popsicle
usedfor	cup or mug	make tea	make anise tea
usedfor	cup or mug	make tea	make pine needle tea
usedfor	cup or mug	prepare lemon	prepare hot water and lemon
usedfor	cup or mug	use machine	use a keurig machine
usedfor	daily	decide item	decide how many items to include on a daily to do list
usedfor	decanter	infuse vodka	infuse vodka with cherry
usedfor	delivery truck	open store	open a furniture store
usedfor	diaper	choose pin	choose pin on cloth diapers for older children and teenagers with bedwetting problems
usedfor	diaper	choose pin	choose pin%e2%80%90on cloth diapers for older children and teenagers with bedwetting problems
usedfor	diaper	help accident	wear a disposable bedwetting diaper to help manage nighttime bedwetting accidents
usedfor	diaper	keep dryer	keep a child car seat dryer while potty training
usedfor	diaper	tell significant other	tell a significant other you wear diapers for bedwetting
usedfor	diaper	use pillow	use a diaper changing pillow to change a diaper
usedfor	dish towel	clean bong	clean a bong
usedfor	dish towel	cook chickpea	cook chickpeas
usedfor	dish towel	cut down fruit	cut fruit with rinds
usedfor	dish towel	make biscuit	make biscuits from scratch
usedfor	dish towel	make bread	make indian bread
usedfor	dish towel	make doll	make a doll using dish towels
usedfor	dish towel	make yogurt	make lemon yogurt
usedfor	dish towel	remove dough	remove play dough from jeans
usedfor	dishtowel	use plastic bag	use a plastic bag as a salad spinner
usedfor	dishwasher	cook lasagna	cook lasagna in your dishwasher
usedfor	dishwasher	seal off jar	seal glass jars
usedfor	dog	choose bedding	choose a perfect bed for your pet dog
usedfor	dog	choose bedding	choose bedding for dogs
usedfor	dog	ease problem	ease your dog%27s stomach problems
usedfor	dog	introduce rock	introduce your pet rock to your dog
usedfor	dog	introduce rock	introduce your pet rock to your pet dog
usedfor	dog	make mix	make dog trail mix
usedfor	dog	spoil puppy	spoil your puppy like massie block does
usedfor	dog	teach puppy	teach your puppy with hand signals
usedfor	dog	use improvisation	exercise using improvisation
usedfor	door	build fort	build a fort with pipe squares and duct tape
usedfor	door	escape from fire	escape from a fire
usedfor	door	escape from fire	escape from a fire (effectively)
usedfor	door	make storehouse	make a storehouse on minecraft
usedfor	double glazing	insulate home	insulate your home
usedfor	double glazing	insulate home	insulate your house
usedfor	dresser	decorate bedroom	decorate an attic bedroom
usedfor	dresser	find theme	find a theme to decorate a small bedroom
usedfor	dresser	look like home	make your den look like a home on animal jam (non members)
usedfor	dresser	make look	make your den look like a home on animal jam (non members)
usedfor	drill press	drill steel	drill steel
usedfor	drill press	enlarge hole	enlarge a hole in wood
usedfor	drill press	forge sheet metal	form sheet metal with hydraulic die forming
usedfor	drill press	make lure	make a topwater lure for saltwater fishing
usedfor	drill press	make pen	make a pen
usedfor	drum	sing time	play drums and sing at the same time
usedfor	duffel bag	pack bag	pack a bag for out of town sports games %28girls%29
usedfor	duffel bag	pack bag	pack a bag for out of town sports games (girls)
usedfor	dumbbell	improve posture	improve your posture with rowing exercises
usedfor	dust cover	matte up painting	mat a watercolor painting
usedfor	dust cover	use microscope	use a microscope
usedfor	dutch oven	cook eye	cook eye of round roast
usedfor	dutch oven	make casserole	make vegan sweet potato casserole
usedfor	dutch oven	make cookie	make no bake birds nest cookies
usedfor	dutch oven	make cream	make vegan cream of mushroom soup
usedfor	dutch oven	make green bean	make ham and green beans
usedfor	dutch oven	make soup	make vegan carrot and fennel soup
usedfor	dutch oven	make soup	make vegan tortilla soup
usedfor	dutch oven	marinate rabbit	marinate rabbit in kriek
usedfor	dutch oven	nest cookie	make no bake birds nest cookies
usedfor	easel	use pastel	use pastels
usedfor	electric fan	prevent pet	prevent your pets from getting overheated
usedfor	electric fan	remove mold	remove mold from drywall
usedfor	electric guitar	amplify guitar	amplify a guitar without a conventional guitar amp
usedfor	electric guitar	connect pedal	connect a guitar pedal
usedfor	electric guitar	decide low	decide how low to tune as a metal guitarist
usedfor	electric guitar	make punk	make your guitar sound punk
usedfor	electric guitar	play beginner	play beginner%27s electric guitar
usedfor	electric guitar	play guitar	play reggae guitar
usedfor	electric guitar	play guitar	play shred guitar
usedfor	electric guitar	play guitar	play the grunge guitar
usedfor	electric guitar	prevent corrosion	prevent guitar corrosion
usedfor	electric guitar	use amp	use a guitar amp
usedfor	electric guitar	use pedal	use a guitar pedal
usedfor	electric guitar	write riff	write a metal riff
usedfor	electric mixer	bake cookie	bake healthy cookies
usedfor	electric mixer	bake oatmeal cookie	bake oatmeal cookies
usedfor	electric mixer	bake pie	bake a wet bottom shoo fly pie
usedfor	electric mixer	bake square	bake armenian apple and grape bread squares
usedfor	electric mixer	crinkle cookie	make chewy molasses crinkle cookies
usedfor	electric mixer	make bar	make pomegranate lemon bars
usedfor	electric mixer	make brownie	make chocolate cherry brownies with brownie mix
usedfor	electric mixer	make brownie	make white chocolate brownies with chocolate chips
usedfor	electric mixer	make butter cookie	make chocolate chip peanut butter cookies
usedfor	electric mixer	make cake	make a cookie cake
usedfor	electric mixer	make cake	make glazed lemon poke cake
usedfor	electric mixer	make cake	make s%27more cake
usedfor	electric mixer	make cake	make s%27mores cake
usedfor	electric mixer	make cheesecake	make a pumpkin cheesecake
usedfor	electric mixer	make chocolate cake	make cheesecake stuffed dark chocolate cake
usedfor	electric mixer	make chocolate chip cookie	make gluten free almond and chocolate chip cookies
usedfor	electric mixer	make chocolate mousse	make fluffy chocolate mousse
usedfor	electric mixer	make clay	make paper clay
usedfor	electric mixer	make clay	make paperclay
usedfor	electric mixer	make coconut macaroon	make gluten free chocolate coconut macaroons
usedfor	electric mixer	make coffee cake	make starbucks classic coffee cake
usedfor	electric mixer	make cookie	make a pizookie (pizza cookie)
usedfor	electric mixer	make cookie	make chewy molasses crinkle cookies
usedfor	electric mixer	make cookie	make gingerbread cookies
usedfor	electric mixer	make cookie	make gluten free peppermint cookies
usedfor	electric mixer	make cookie	make rainbow cookies
usedfor	electric mixer	make cookie	make spritz cookies
usedfor	electric mixer	make cream	make marshmallow cream for cupcakes (vegan)
usedfor	electric mixer	make cup	make hot chocolate cups
usedfor	electric mixer	make cupcake	make anniversary mini cupcakes
usedfor	electric mixer	make cupcake	make cherry almond cupcakes
usedfor	electric mixer	make cupcake	make gluten free apple blueberry cupcakes
usedfor	electric mixer	make cupcake	make red velvet cupcakes with cream cheese icing
usedfor	electric mixer	make dip	make a chocolate fruit dip
usedfor	electric mixer	make dip	make a cream cheese and peanut butter dip
usedfor	electric mixer	make frosting	make cream cheese frosting
usedfor	electric mixer	make frosting	make homemade strawberry frosting
usedfor	electric mixer	make frosting	make maple frosting
usedfor	electric mixer	make frosting	make vegan chocolate frosting
usedfor	electric mixer	make ice cream	make crunchie ice cream
usedfor	electric mixer	make ingredient	make 3 ingredient, healthy chocolate bars in under 5 minutes
usedfor	electric mixer	make marble cake	make mint marble cake
usedfor	electric mixer	make pavlova	make gingered peach pavlovas
usedfor	electric mixer	make pie	make a pie
usedfor	electric mixer	make pie	make raspberry meringue pie
usedfor	electric mixer	make pop	make cake pops
usedfor	electric mixer	make roll	make tootsie rolls
usedfor	electric mixer	make shortbread cookie	make chocolate chip shortbread cookies
usedfor	electric mixer	make sorbet	make lemon sorbet
usedfor	electric mixer	make sorbet	make lemon vodka sorbet
usedfor	electric mixer	make sugar cookie	make  easy sugar cookies
usedfor	electric mixer	make sugar cookie	make sugar cookies
usedfor	electric mixer	make tree	make pecan shortbread trees
usedfor	electric mixer	make trifle	make strawberry trifle
usedfor	electric mixer	poke cake	make glazed lemon poke cake
usedfor	electric mixer	produce meringue	produce thick and glossy meringue
usedfor	electric mixer	stuff chocolate cake	make cheesecake stuffed dark chocolate cake
usedfor	electric mixer	top for creme brulee	make a sugar topping for a creme brulee
usedfor	envelope	address letter	address a letter to england
usedfor	envelope	mail letter	mail a letter
usedfor	envelope	make birthday card	create a birthday card
usedfor	envelope	make birthday card	make a birthday card
usedfor	envelope	make birthday card	make a great birthday card
usedfor	envelope	make birthday card	write a nice birthday card to someone
usedfor	envelope	make invitation	make elegant wedding invitations at home
usedfor	envelope	make kit	make a band press kit
usedfor	envelope	make pop	make a pop up card
usedfor	envelope	make pop	make a pop up greeting card
usedfor	envelope	make pop	make a popup
usedfor	envelope	make tangram	make a tangram
usedfor	envelope	put stamp	put a stamp on an envelope
usedfor	envelope	read mind	read minds
usedfor	envelope	read mind	read minds (as a magic trick)
usedfor	envelope	register to vote	register to vote in arizona
usedfor	envelope	register to vote	register to vote in arkansas
usedfor	envelope	register to vote	register to vote in colorado
usedfor	envelope	register to vote	register to vote in minnesota
usedfor	envelope	send letter	send santa letters
usedfor	envelope	send message	send a message forward in time
usedfor	envelope	sign sympathy card	sign a sympathy card
usedfor	envelope	write card	write a welcome card for the new kid
usedfor	envelope	write fan mail	write fan mail
usedfor	envelope	write letter	write a letter of appreciation to your teacher
usedfor	envelope	write letter	write a letter to santa claus
usedfor	envelope	write letter	write a letter to the mayor of your city
usedfor	envelope	write letter	write a thank you letter to santa
usedfor	eyebrow pencil	apply eyeshadow	apply natural eyeshadow for mixed skin
usedfor	eyebrow pencil	apply makeup	apply basic eye makeup
usedfor	eyebrow pencil	apply makeup	apply basic stage makeup (for women)
usedfor	eyebrow pencil	apply makeup	apply basic stage makeup for women
usedfor	eyebrow pencil	apply makeup	apply makeup like flo%2c the progressive girl
usedfor	eyebrow pencil	apply makeup	apply makeup like flo, the progressive girl
usedfor	eyebrow pencil	look best	look your best while undergoing chemotherapy
usedfor	eyebrow pencil	make look	make an electric eye make up perfect for a girls night out
usedfor	eyebrow pencil	make look	make an electric eye makeup look
usedfor	face powder	apply makeup	apply makeup for prom or any other elegant party
usedfor	face powder	cover pimple	use green eyeshadow to cover a red pimple
usedfor	face powder	make temporary	make your skin fairer (temporary)
usedfor	face powder	put makeup	put makeup on a guy while he%27s asleep
usedfor	face powder	use eyeshadow	use green eyeshadow to cover a red pimple
usedfor	felt	build house	build a super cool pet rock house
usedfor	felt	create home	build a pet rock home
usedfor	felt	create home	create a home for your pet rock
usedfor	felt	create home	make a house for your pet rock
usedfor	felt	create home	make a pet rock home and furniture
usedfor	felt	create home	make a pet rock house
usedfor	felt	create kit	create a bed kit for your pet rock
usedfor	felt	decorate pen	decorate pens
usedfor	felt	decorate pen	decorate wedding pens
usedfor	felt	feel case	make felt mp3 cases
usedfor	felt	feel clip	make felt hair clips of lucky clovers
usedfor	felt	feel goody	make felt christmas goodies
usedfor	felt	feel heart	make felt hearts of stuffed type
usedfor	felt	feel petal	diy felt flowers with scattered felt petals
usedfor	felt	feel petal	make felt flowers with scattered felt petals
usedfor	felt	fix rug	fix a curling rug
usedfor	felt	make accessory	make cute hair accessories for kids
usedfor	felt	make animal	make a stuffed animal
usedfor	felt	make animal	make flower pot animals
usedfor	felt	make backpack	make a backpack with a star
usedfor	felt	make belt	make a bellydance belt
usedfor	felt	make belt	make a bellydance bra and belt
usedfor	felt	make bobby pin	make a flower bobby pin
usedfor	felt	make bobby pin	make cute bobby pins in shape of windmill
usedfor	felt	make bow	make a simple hair bow out of felt
usedfor	felt	make brooch	make a felt flower brooch easily
usedfor	felt	make brooch	make a ribbon flower brooch
usedfor	felt	make brooch	make a rosette brooch
usedfor	felt	make case	make a felt ipod case
usedfor	felt	make case	make a scissors case
usedfor	felt	make caterpillar	make a caterpillar
usedfor	felt	make clip	flower hair clip tutorial
usedfor	felt	make clip	make a baby hair clip in lollipop shape
usedfor	felt	make clip	make a christmas tree hair clip
usedfor	felt	make clip	make a flower hair clip
usedfor	felt	make clip	make a rainbow hair clip for girls
usedfor	felt	make clip	make baby hair clip of lollipop shape
usedfor	felt	make clip	make felt christmas tree hair clip
usedfor	felt	make clip	make flower hair clips with purple felt
usedfor	felt	make clip	make hair flower clips with blue cords
usedfor	felt	make clip	make organza hair clips
usedfor	felt	make clip	make vintage flower clips for hair
usedfor	felt	make comb	make flower hair combs
usedfor	felt	make cover	make a book style ereader cover
usedfor	felt	make cover	make a notebook cover
usedfor	felt	make dog	make a stuffed dog
usedfor	felt	make doll	make a hate relief doll
usedfor	felt	make doll	make an odd doll
usedfor	felt	make doll	make clothes pin dolls
usedfor	felt	make duck	make felt duck
usedfor	felt	make ear	make ears for your lappy
usedfor	felt	make ear	make ears for your laptop
usedfor	felt	make envelope	make a felt envelope
usedfor	felt	make flower	make felt flower with pom poms
usedfor	felt	make flower	make lace flowers
usedfor	felt	make flower	make ribbon flowers for hair
usedfor	felt	make gift	make cute homemade gifts for boyfriend
usedfor	felt	make headband	make a baby%27s birthday crown headband
usedfor	felt	make headband	make a bunny ears headband
usedfor	felt	make headband	make bunny ears headband
usedfor	felt	make holder	make a personalized key holder
usedfor	felt	make lamp	make a birch lamp
usedfor	felt	make magnet	make halloween magnets
usedfor	felt	make mobile	make a sea creature mobile
usedfor	felt	make ornament	make a button ornament
usedfor	felt	make pattern	make hot pad patterns out of felt
usedfor	felt	make puff	make a pygmy puff
usedfor	felt	make puppet	make a muppet style puppet
usedfor	felt	make puppet	make a rabbit puppet out of felt
usedfor	felt	make puppet	make a sock puppet
usedfor	felt	make puppet	make puppets
usedfor	felt	make puppet	make sock puppets
usedfor	felt	make puppet	make sock puppets for kids
usedfor	felt	make rattle	make a rabbit rattle
usedfor	felt	make skirt	make a poodle skirt without a pattern and with minimal sewing
usedfor	felt	make sleeve	make felt coffee sleeve
usedfor	felt	make throw pillow	make a christmas throw pillow
usedfor	felt	make tile	make a personalized tile
usedfor	felt	make toy	make catnip filled sock toys
usedfor	felt	make winder	make a headphone cord winder
usedfor	felt	pin doll	make clothes pin dolls
usedfor	felt	sew owl	sew an owl
usedfor	felt	take rock	take a pet rock to space
usedfor	felt	throw pillow	make a christmas throw pillow
usedfor	filing cabinet	organize invoice	organize invoices for a craft business
usedfor	first-aid kit	prepare for earthquake	cope and prepare with an earthquake
usedfor	first-aid kit	prepare for earthquake	prepare for an earthquake
usedfor	first-aid kit	prepare for weather	prepare for extreme weather
usedfor	first-aid kit	survive collapse	survive total economic collapse
usedfor	first-aid kit	survive tornado	survive a tornado
usedfor	fish bowl	change water	change the water in a fish bowl
usedfor	fish bowl	clean tank	clean a goldfish bowl
usedfor	fish bowl	clean tank	clean a goldfish tank
usedfor	fishbowl	rid of ladybug	get rid of ladybugs
usedfor	flamethrower	prepare for relative	prepare for relatives
usedfor	flash	become photographer	become a wedding photographer
usedfor	flash	make logo	make a professional looking logo for free
usedfor	flash	make walk	make a guy walk on macromedia flash
usedfor	flash	shoot subject	shoot backlit subjects using the flash
usedfor	flash	take photograph	take summer photographs
usedfor	flower pot	make tree	make a wedding money tree
usedfor	flute	hit note	hit the lower notes on a flute
usedfor	flute	hit note	play low notes on the flute
usedfor	flute	play glissando	play a glissando on the flute
usedfor	flute	read sheet music	read flute sheet music
usedfor	food processor	bake cake	bake a plum cake
usedfor	food processor	bake pumpkin	bake a pumpkin for pie
usedfor	food processor	cook beet green	cook beet greens
usedfor	food processor	flavor ice cream	make macaroni and cheese flavored ice cream
usedfor	food processor	frost avocado	freeze avocados
usedfor	food processor	frost basil	freeze basil
usedfor	food processor	fudge cake	make a caramel fudge pudding cake
usedfor	food processor	make baklava	make rosewater baklava
usedfor	food processor	make bite	make healthy cookie dough bites
usedfor	food processor	make blend	make ras el hanout spice blend
usedfor	food processor	make bread	make bread with a food processor
usedfor	food processor	make brownie	make a raw vegan brownie
usedfor	food processor	make brownie	make brownies for dogs
usedfor	food processor	make burger	make black bean veggie burgers
usedfor	food processor	make burger	make chickpea burgers
usedfor	food processor	make butter	make almond butter
usedfor	food processor	make butter	make butter from raw milk
usedfor	food processor	make butter	make pecan butter
usedfor	food processor	make butter	make roasted garlic thyme butter
usedfor	food processor	make cake	make a caramel fudge pudding cake
usedfor	food processor	make cake	make almond crunch chocolate confetti cake
usedfor	food processor	make cake	make english fairy cakes
usedfor	food processor	make cake	make salmon cakes
usedfor	food processor	make candy	make organic candy
usedfor	food processor	make cheese	make vegan gruyere cheese
usedfor	food processor	make cheesecake	make kumara cheesecake
usedfor	food processor	make chicken	make crispy chicken with creamy italian sauce and bowtie pasta
usedfor	food processor	make chocolate	make chocolate with cocoa powder
usedfor	food processor	make chocolate cake	make raspberry chocolate cake
usedfor	food processor	make chocolate cake	make vegan mint chocolate cake
usedfor	food processor	make chocolate chip cookie	make chickpea chocolate chip cookies
usedfor	food processor	make chocolate ice cream	make vegan chocolate ice cream
usedfor	food processor	make chocolate ice cream	vegan chocolate ice cream
usedfor	food processor	make chocolate pudding	make an easy low glycemic chocolate pudding
usedfor	food processor	make chocolate pudding	make vegan chocolate pudding
usedfor	food processor	make coconut oil	make virgin coconut oil
usedfor	food processor	make cookie	make cottage cheese cookies
usedfor	food processor	make cookie	make hazelnut bacon cookies
usedfor	food processor	make cookie	make urchin cookies
usedfor	food processor	make crust	make gluten free cheesecake crust
usedfor	food processor	make dim sum	make dim sum
usedfor	food processor	make dip	make carrot and cumin dip
usedfor	food processor	make dip	make edamame dip
usedfor	food processor	make dip	make eggplant dip
usedfor	food processor	make dip	make gluten free artichoke dip
usedfor	food processor	make flatbread	make danish flatbread
usedfor	food processor	make food	make kitten food
usedfor	food processor	make food	use a food processor to make baby food
usedfor	food processor	make fritter	make banana fritters
usedfor	food processor	make gluten	make a gluten and dairy free strawberry cream pie
usedfor	food processor	make hot dog	make a hot dog
usedfor	food processor	make hummus	make lentil hummus
usedfor	food processor	make ice cream	make real banana ice cream
usedfor	food processor	make ice cream	make strawberries and clotted cream ice cream
usedfor	food processor	make jam	make bacon jam
usedfor	food processor	make juice	make cucumber juice
usedfor	food processor	make lemon oil	make thyme and lemon oil
usedfor	food processor	make macaroni	make egg macaroni pasta
usedfor	food processor	make macaroni and cheese	make vegan macaroni and cheese
usedfor	food processor	make marinade	make mango marinade
usedfor	food processor	make martini	make a kiwi lime pie martini
usedfor	food processor	make meat pie	make a mince meat pie
usedfor	food processor	make mix	make oatmeal pancake mix
usedfor	food processor	make pasta sauce	make a mushroom pasta sauce
usedfor	food processor	make pastry	make puff pastry
usedfor	food processor	make patty	make a burger patty
usedfor	food processor	make pesto	make basil mint orange pesto
usedfor	food processor	make pesto	make mixed herb pesto
usedfor	food processor	make pesto	make parsley pesto
usedfor	food processor	make pesto	make pesto
usedfor	food processor	make pesto	make rocket pesto
usedfor	food processor	make pesto	make simple but tasty basil pesto
usedfor	food processor	make pesto	prepare fresh pesto
usedfor	food processor	make pie	make tomato pie
usedfor	food processor	make pie crust	make gluten free savory pie crust
usedfor	food processor	make pit	make a compost pit
usedfor	food processor	make popsicle	make fruit popsicles
usedfor	food processor	make popsicle	make patriotic popsicles
usedfor	food processor	make pumpkin pie	make a vegan pumpkin pie
usedfor	food processor	make puree	make apricot puree
usedfor	food processor	make puree	make cantaloupe puree
usedfor	food processor	make puree	make mango puree
usedfor	food processor	make puree	make papaya puree
usedfor	food processor	make puree	make plum puree
usedfor	food processor	make puree	make simple root vegetable puree
usedfor	food processor	make puree	make white bean puree
usedfor	food processor	make relish	make a very hot relish
usedfor	food processor	make relish	make cranberry orange relish
usedfor	food processor	make relish	make spicy relish
usedfor	food processor	make salt	make bacon salt
usedfor	food processor	make sandwich	make a raw cookie sandwich
usedfor	food processor	make sauce	make hot wings sauce
usedfor	food processor	make sauce	make masala sauce
usedfor	food processor	make sausage	make glamorgan sausages
usedfor	food processor	make seasoning	make jamaican jerk seasoning
usedfor	food processor	make shisha	make apple shisha
usedfor	food processor	make sorbet	make a fruit sorbet
usedfor	food processor	make sorbet	make express raspberry rose sorbet
usedfor	food processor	make souffle	make a mock spinach souffle
usedfor	food processor	make soup	make tomato watermelon soup
usedfor	food processor	make spread	make chocolate spread
usedfor	food processor	make strawberry ice cream	make vegan strawberry ice cream
usedfor	food processor	make taco	make fish tacos
usedfor	food processor	make tahini	make tahini
usedfor	food processor	make tart	make a lime tart
usedfor	food processor	make tart	make chocolate peanut butter tarts
usedfor	food processor	make tart	make hazelnut and fruit mince tart
usedfor	food processor	make tart	make roasted strawberry and ricotta tart
usedfor	food processor	make tart	make roasted strawberry and ricotta tarts
usedfor	food processor	make truffle	make strawberry balsamic truffles
usedfor	food processor	make turnover	make cherry turnovers
usedfor	food processor	make vegetable	make baked vegetables with basil butter
usedfor	food processor	rise sorbet	make express raspberry rose sorbet
usedfor	food processor	shred zucchini	shred zucchini
usedfor	frame	assemble bicycle	assemble a bicycle
usedfor	frame	frame oil painting	frame an oil painting
usedfor	frame	make flower petal	make money using only pressed flower petals (for kids)
usedfor	frame	make gift	make gifts from recycled materials
usedfor	frame	make up constellation	make up your own star constellation
usedfor	frame	make up constellation	make up your own star constellation
usedfor	frame	tune up bow	tune a bow
usedfor	french fries	make pizza	make a breakfast pizza with a crust
usedfor	frying pan	add vegetable	add vegetables to pasta
usedfor	frying pan	batter vegetable	make beer battered fried vegetables
usedfor	frying pan	change recipe	change your recipes to easy slow cooking recipes
usedfor	frying pan	clean fish	clean a fish
usedfor	frying pan	cook borsch	cook ukrainian green borsch with sorrel
usedfor	frying pan	cook bread	cook bread manchurian
usedfor	frying pan	cook chanterelle	cook fried chanterelles
usedfor	frying pan	cook dal	cook dal
usedfor	frying pan	cook egg	cook eggs
usedfor	frying pan	cook meat	cook black walnut meat
usedfor	frying pan	cook omelet	cook a southern omelet
usedfor	frying pan	cook omelette	cook a basic omelette
usedfor	frying pan	cook omelette	make a delicious omelet that will wow
usedfor	frying pan	cook pork roast	cook a pork roast
usedfor	frying pan	cook rainbow trout	cook rainbow trout
usedfor	frying pan	cook shark	cook shark
usedfor	frying pan	cook turnip	cook turnips
usedfor	frying pan	cook zucchini	cook zucchini
usedfor	frying pan	curry style	make carrot and peas curry in andhra style
usedfor	frying pan	dry bottle gourd	make dal with al hach (dried bottle gourd) in kashmiri style
usedfor	frying pan	flavor egg	make onion powder and cheese flavored scrambled eggs
usedfor	frying pan	fry cucumber	fried cucumbers
usedfor	frying pan	fry cucumber	fry cucumbers
usedfor	frying pan	fry eggplant	fry eggplant
usedfor	frying pan	fry ham	fry ham
usedfor	frying pan	fry rice	make guyanese fried rice
usedfor	frying pan	fry rice	make kimchi fried rice
usedfor	frying pan	fry sardine	make pan fried garlic sardines
usedfor	frying pan	fry strip	fry chicken strips
usedfor	frying pan	fry trout	make pan fried trout with garlic and bacon
usedfor	frying pan	grill cheese	make a double decker grilled cheese
usedfor	frying pan	improve taste	improve the taste of broccoli
usedfor	frying pan	make bacon	make chocolate bacon
usedfor	frying pan	make baked potato	make a baked potato with bacon and cheese
usedfor	frying pan	make ball	make toasted seed risotto balls
usedfor	frying pan	make biryani	make hyderabadi mutton biryani
usedfor	frying pan	make blini	make blinis
usedfor	frying pan	make blini	make russian blinis with curd
usedfor	frying pan	make blini	make russian blinis with curd
usedfor	frying pan	make breakfast	make a tropical breakfast
usedfor	frying pan	make burger	make a sub burger
usedfor	frying pan	make candy	make molasses candy
usedfor	frying pan	make cauliflower	make fried cauliflower
usedfor	frying pan	make cheese	make a double decker grilled cheese
usedfor	frying pan	make cheese sauce	make nacho cheese sauce
usedfor	frying pan	make cheesecake	make pilus cheesecake
usedfor	frying pan	make chicken	make iraqi shawarma chicken
usedfor	frying pan	make chicken breast	make boneless chicken breast into steaks
usedfor	frying pan	make chicken casserole	make moroccan chicken casserole
usedfor	frying pan	make chickpea	make roasted chickpeas
usedfor	frying pan	make chickpea	satisfy that salty crunchy craving with a healthy snack
usedfor	frying pan	make chutney	fresh coconut chutney in andhra style
usedfor	frying pan	make chutney	make cucumber chutney in andhra style
usedfor	frying pan	make chutney	make date chutney
usedfor	frying pan	make chutney	make fresh coconut chutney in andhra style
usedfor	frying pan	make chutney	make fresh peach chutney
usedfor	frying pan	make chutney	make mint chutney in andhra style
usedfor	frying pan	make chutney	make onion chutney in andhra style
usedfor	frying pan	make chutney	make radish chutney in anstyle
usedfor	frying pan	make club sandwich	make a grilled chicken club sandwich
usedfor	frying pan	make cookie	make a kruschicki cookie
usedfor	frying pan	make corn	make grilled corn with milkshake
usedfor	frying pan	make croquette	make quinoa croquettes
usedfor	frying pan	make crumb	make buttered crumbs
usedfor	frying pan	make curry	make brinjal curry in andhra style
usedfor	frying pan	make curry	make carrot and peas curry in andhra style
usedfor	frying pan	make curry	make paneer curry in kashmiri style
usedfor	frying pan	make curry	make red chicken curry
usedfor	frying pan	make curry	make soya sticks curry
